subtitle,sq_mt_built,n_rooms,n_bathrooms,buy_price,buy_price_by_area,house_type_id,is_renewal_needed,is_new_development,has_lift,is_exterior,has_parking
Butarque,107.0,3,2.0,228629,2137,multi-storey building,False,True,True,True,True
Butarque,76.0,2,2.0,169021,2224,multi-storey building,False,True,True,True,True
Butarque,109.0,3,2.0,223022,2046,multi-storey building,False,True,True,True,True
Butarque,108.0,3,2.0,220072,2038,multi-storey building,False,True,True,True,True
Butarque,103.0,3,2.0,235718,2289,multi-storey building,False,True,True,True,False
Butarque,103.0,3,2.0,245000,2379,multi-storey building,False,True,True,True,True
Butarque,143.0,3,2.0,260000,1818,multi-storey building,False,True,True,True,True
Butarque,99.0,3,2.0,235000,2374,multi-storey building,False,True,True,True,True
Butarque,100.0,3,2.0,235000,2350,multi-storey building,False,True,True,True,True
Butarque,176.0,2,2.0,265000,1506,multi-storey building,False,True,True,True,True
Butarque,87.0,2,2.0,190000,2184,multi-storey building,False,True,True,True,True
Butarque,106.0,3,2.0,256115,2416,multi-storey building,False,True,True,True,False
Butarque,113.0,3,2.0,261989,2318,multi-storey building,False,True,True,True,False
Butarque,115.0,3,2.0,273353,2377,multi-storey building,False,True,True,True,False
Butarque,129.0,3,2.0,297621,2307,multi-storey building,False,True,True,True,False
Butarque,115.0,3,2.0,279778,2433,multi-storey building,False,True,True,True,False
Villaverde,110.0,2,2.0,135000,1227,multi-storey building,True,False,False,True,False
Los Ángeles,90.0,3,2.0,195000,2167,multi-storey building,False,False,True,True,False
Los Rosales,60.0,2,1.0,126900,2115,multi-storey building,True,False,False,True,False
Los Ángeles,54.0,2,1.0,136400,2526,multi-storey building,False,False,False,False,False
San Andrés,80.0,3,1.0,145000,1812,multi-storey building,False,False,False,True,False
San Andrés,73.0,2,1.0,127500,1747,multi-storey building,False,False,True,True,False
San Andrés,122.0,3,2.0,179000,1467,multi-storey building,False,False,True,True,True
Butarque,98.0,3,2.0,266122,2716,multi-storey building,False,False,True,True,True
Butarque,97.0,3,2.0,261989,2701,multi-storey building,False,False,True,True,True
Butarque,111.0,3,2.0,297621,2681,penthouse,False,False,True,True,True
Butarque,99.0,3,2.0,251569,2541,multi-storey building,False,False,True,True,True
Villaverde,77.0,3,1.0,113500,1474,multi-storey building,True,False,False,True,False
San Andrés,85.0,3,1.0,138000,1624,multi-storey building,False,False,False,True,False
Butarque,90.0,3,2.0,225000,2500,multi-storey building,False,False,True,True,True
Los Rosales,133.0,2,1.0,264000,1985,multi-storey building,False,False,True,True,True
Los Rosales,60.0,3,1.0,98260,1638,multi-storey building,False,False,False,True,False
Butarque,133.0,3,3.0,275000,2068,multi-storey building,False,False,True,True,False
San Andrés,85.0,2,1.0,124000,1459,multi-storey building,False,False,False,True,False
Los Ángeles,59.0,2,2.0,164513,2788,multi-storey building,False,True,True,True,True
Los Ángeles,59.0,2,2.0,164416,2787,multi-storey building,False,True,True,True,True
Los Ángeles,58.0,2,2.0,165435,2852,multi-storey building,False,True,True,True,True
Los Ángeles,79.0,3,2.0,202629,2565,multi-storey building,False,True,True,True,True
Los Ángeles,60.0,2,2.0,164242,2737,multi-storey building,False,True,True,True,True
Los Rosales,121.0,3,2.0,260000,2149,multi-storey building,False,False,True,True,True
San Andrés,126.0,3,2.0,294900,2340,multi-storey building,False,True,True,True,True
San Andrés,134.0,4,2.0,319900,2387,multi-storey building,False,True,True,True,True
San Andrés,111.0,3,2.0,259900,2341,multi-storey building,False,True,True,True,True
San Andrés,122.0,3,2.0,285900,2343,multi-storey building,False,True,True,True,True
San Andrés,125.0,3,2.0,289900,2319,multi-storey building,False,True,True,True,True
San Andrés,102.0,2,2.0,249900,2450,multi-storey building,False,True,True,True,True
Butarque,104.0,3,2.0,273352,2628,multi-storey building,False,False,True,True,True
San Cristóbal,66.0,3,1.0,104900,1589,multi-storey building,False,False,True,True,False
San Andrés,95.0,2,1.0,155000,1632,multi-storey building,False,False,False,True,False
San Cristóbal,74.0,3,1.0,100000,1351,multi-storey building,False,False,False,True,False
Butarque,97.0,2,1.0,210000,2165,multi-storey building,False,False,True,True,True
San Andrés,90.0,2,2.0,240000,2667,penthouse,False,False,True,True,True
San Andrés,130.0,4,2.0,257000,1977,multi-storey building,False,False,True,True,False
San Andrés,49.0,2,1.0,84000,1714,multi-storey building,False,False,True,True,False
Los Rosales,151.0,3,2.0,314000,2079,multi-storey building,False,False,True,True,True
San Cristóbal,69.0,3,1.0,107000,1551,multi-storey building,False,False,False,True,False
Butarque,170.0,3,2.0,325000,1912,penthouse,False,False,True,True,True
Los Rosales,48.0,2,1.0,89000,1854,multi-storey building,False,False,False,True,False
Los Rosales,98.0,3,2.0,284900,2907,multi-storey building,False,False,True,True,True
San Andrés,50.0,1,1.0,135000,2700,multi-storey building,False,False,True,True,True
San Andrés,136.0,3,2.0,230000,1691,penthouse,False,False,True,True,True
Villaverde,80.0,3,1.0,163000,2038,multi-storey building,False,False,True,True,False
San Andrés,95.0,3,1.0,185000,1947,multi-storey building,False,False,False,True,False
Villaverde,56.0,3,1.0,80000,1429,multi-storey building,True,False,False,True,False
Los Rosales,43.0,1,1.0,84000,1953,multi-storey building,False,False,False,True,False
Villaverde,72.0,3,1.0,119900,1665,multi-storey building,True,False,True,True,False
Villaverde,100.0,4,2.0,154900,1549,multi-storey building,False,False,True,True,False
Villaverde,70.0,3,1.0,119900,1713,multi-storey building,True,False,True,True,False
Villaverde,60.0,2,1.0,79900,1332,multi-storey building,False,False,False,True,False
Villaverde,60.0,2,1.0,79900,1332,multi-storey building,False,False,False,True,False
Villaverde,91.0,3,2.0,129900,1427,multi-storey building,False,False,False,True,False
Villaverde,74.0,3,1.0,99900,1350,multi-storey building,True,False,False,True,False
Butarque,110.0,3,2.0,275000,2500,multi-storey building,False,False,True,True,True
San Andrés,83.0,3,1.0,91500,1102,multi-storey building,False,False,False,True,False
Los Rosales,25.0,0,1.0,129000,5160,,False,False,True,False,True
San Andrés,65.0,2,1.0,86860,1336,multi-storey building,True,False,False,True,False
Butarque,58.0,3,1.0,105000,1810,multi-storey building,False,False,False,True,False
Butarque,115.0,3,2.0,216000,1878,multi-storey building,False,False,True,True,True
San Andrés,82.0,3,1.0,120000,1463,multi-storey building,False,False,False,True,False
San Andrés,83.0,3,1.0,135000,1627,multi-storey building,False,False,True,True,False
Butarque,90.0,2,1.0,212000,2356,multi-storey building,False,False,True,True,False
San Cristóbal,95.0,2,2.0,184000,1937,multi-storey building,False,False,True,True,False
San Andrés,89.0,3,1.0,160000,1798,multi-storey building,False,False,False,True,False
Los Rosales,178.0,4,2.0,299990,1685,multi-storey building,False,False,True,True,True
Los Rosales,59.0,2,1.0,117000,1983,multi-storey building,False,False,False,True,False
Los Ángeles,100.0,4,1.0,165000,1650,multi-storey building,False,False,True,True,False
San Andrés,68.0,3,1.0,95000,1397,multi-storey building,True,False,False,True,False
